Unnamed: 0,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc,processed_description,exercise_type,muscle_group,equipment,difficulty,key_fitness_terms
574,MetaBurn Alternating Knee-to-Elbow Mountain Climber,,Strength,Abdominals,Body Only,Intermediate,,,,Strength,Abdominals,Body Only,Intermediate,[]
575,Alternating sit-through with crunch-,"The alternating sit-through with crunch is a full-body movement that starts in a bear crawl position and ends with a leg kicked out to the side. In between reps, you perform a crunch. It is commonly performed for reps or time in bodyweight circuits and animal-style flows, but can also work on its own or as part of a dynamic warm-up or mobility sequence.",Strength,Abdominals,Body Only,Intermediate,,,alternating sit crunch full body movement starts bear crawl position ends leg kicked side reps perform crunch commonly performed reps time bodyweight circuits animal style flows also work part dynamic warm mobility sequence,Strength,Abdominals,Body Only,Intermediate,"['crunch', 'full', 'body', 'movement', 'position', 'leg', 'side', 'reps', 'crunch', 'performed', 'reps', 'time', 'bodyweight', 'work', 'part', 'dynamic', 'warm']"
576,MetaBurn Alternating Toe-Touch,,Strength,Abdominals,Body Only,Intermediate,,,,Strength,Abdominals,Body Only,Intermediate,[]
577,MetaBurn Janda Sit-Up,,Strength,Abdominals,Body Only,Intermediate,,,,Strength,Abdominals,Body Only,Intermediate,[]
578,MetaBurn Oblique Roll Crunch,,Strength,Abdominals,Body Only,Intermediate,,,,Strength,Abdominals,Body Only,Intermediate,[]
579,MetaBurn Plank Jack,,Strength,Abdominals,Body Only,Intermediate,,,,Strength,Abdominals,Body Only,Intermediate,[]
580,MetaBurn Plank To Alternating Side Plank,,Strength,Abdominals,Body Only,Intermediate,,,,Strength,Abdominals,Body Only,Intermediate,[]
581,MetaBurn Plank Up-Down,,Strength,Abdominals,Body Only,Intermediate,,,,Strength,Abdominals,Body Only,Intermediate,[]
582,MetaBurn Plank Wiper,,Strength,Abdominals,Body Only,Intermediate,,,,Strength,Abdominals,Body Only,Intermediate,[]
583,MetaBurn Plank With Alternating Toe-Touch,,Strength,Abdominals,Body Only,Intermediate,,,,Strength,Abdominals,Body Only,Intermediate,[]
584,MetaBurn Plyo Push-Up,,Strength,Abdominals,Body Only,Intermediate,,,,Strength,Abdominals,Body Only,Intermediate,[]
585,MetaBurn Psycho Crunch,,Strength,Abdominals,Body Only,Intermediate,,,,Strength,Abdominals,Body Only,Intermediate,[]
586,MetaBurn Scapular Retraction Plank,,Strength,Abdominals,Body Only,Intermediate,,,,Strength,Abdominals,Body Only,Intermediate,[]
587,MetaBurn Scapular Retraction Plank Hold,,Strength,Abdominals,Body Only,Intermediate,,,,Strength,Abdominals,Body Only,Intermediate,[]
588,MetaBurn Scorpion,,Strength,Abdominals,Body Only,Intermediate,,,,Strength,Abdominals,Body Only,Intermediate,[]
589,MetaBurn Side Crawler,,Strength,Abdominals,Body Only,Intermediate,,,,Strength,Abdominals,Body Only,Intermediate,[]
590,MetaBurn Side Plank Oblique Crunch,,Strength,Abdominals,Body Only,Intermediate,,,,Strength,Abdominals,Body Only,Intermediate,[]
591,MetaBurn Sit-Through,,Strength,Abdominals,Body Only,Intermediate,,,,Strength,Abdominals,Body Only,Intermediate,[]
592,MetaBurn Sit-Up To V-Up,,Strength,Abdominals,Body Only,Intermediate,,,,Strength,Abdominals,Body Only,Intermediate,[]
593,MetaBurn Sit-Up With Rotation,,Strength,Abdominals,Body Only,Intermediate,,,,Strength,Abdominals,Body Only,Intermediate,[]
594,MetaBurn Split-Leg Crunch,,Strength,Abdominals,Body Only,Intermediate,,,,Strength,Abdominals,Body Only,Intermediate,[]
595,MetaBurn Tabletop Hip Thrust,,Strength,Abdominals,Body Only,Intermediate,,,,Strength,Abdominals,Body Only,Intermediate,[]
596,MetaBurn Tabletop With Russian Kick,,Strength,Abdominals,Body Only,Intermediate,,,,Strength,Abdominals,Body Only,Intermediate,[]
597,MetaBurn Toe Driver Abs,,Strength,Abdominals,Body Only,Intermediate,,,,Strength,Abdominals,Body Only,Intermediate,[]
598,MetaBurn-V-Up,,Strength,Abdominals,Body Only,Intermediate,,,,Strength,Abdominals,Body Only,Intermediate,[]
599,X-body V-up,"The X-body V-up is a bodyweight abdominal exercise performed on the floor. It is similar to the popular V-up exercise, but is performed with the arms and legs out wide in an X-shape. It primarily targets the muscles of the rectus abdominis, or “six-pack” muscles. It can be performed for reps or time, either as part of an ab-focused workout or as a component of a circuit workout.",Strength,Abdominals,Body Only,Intermediate,,,x body v bodyweight abdominal exercise performed floor similar popular v exercise performed arms legs wide x shape primarily targets muscles rectus abdominis six pack muscles performed reps time either part ab focused workout component circuit workout,Strength,Abdominals,Body Only,Intermediate,"['body', 'bodyweight', 'abdominal', 'exercise', 'performed', 'floor', 'popular', 'exercise', 'performed', 'legs', 'targets', 'muscles', 'rectus', 'pack', 'muscles', 'performed', 'reps', 'time', 'part', 'focused', 'workout', 'circuit', 'workout']"
600,MetaBurn Swivel Crunch,,Strength,Abdominals,Body Only,Intermediate,,,,Strength,Abdominals,Body Only,Intermediate,[]
601,Robertson Core-Engaged Dead Bug,,Strength,Abdominals,Body Only,Intermediate,,,,Strength,Abdominals,Body Only,Intermediate,[]
602,FYR2 Double-Under,,Strength,Abdominals,Body Only,Intermediate,,,,Strength,Abdominals,Body Only,Intermediate,[]
603,FYR2 Fire Feet with Burpee Tuck Jump Drill,,Strength,Abdominals,Body Only,Intermediate,,,,Strength,Abdominals,Body Only,Intermediate,[]
604,FYR2 Flutter Kick,,Strength,Abdominals,Body Only,Intermediate,,,,Strength,Abdominals,Body Only,Intermediate,[]
605,FYR2 Half-Moon,,Strength,Abdominals,Body Only,Intermediate,,,,Strength,Abdominals,Body Only,Intermediate,[]
606,FYR2 Leopard Crawl,,Strength,Abdominals,Body Only,Intermediate,,,,Strength,Abdominals,Body Only,Intermediate,[]
607,FYR2 Plank Alternating Front Step,,Strength,Abdominals,Body Only,Intermediate,,,,Strength,Abdominals,Body Only,Intermediate,[]
608,FYR2 Shoulder Tap,,Strength,Abdominals,Body Only,Intermediate,,,,Strength,Abdominals,Body Only,Intermediate,[]
609,Hand shift plank,The hand shift plank is a progression of the straight-arm plank exercise where you maintain a plank position as you shift your hands side to side. The additional movement forces the core muscles to work harder to stabilize.,Strength,Abdominals,Body Only,Intermediate,,,hand shift plank progression straight arm plank exercise maintain plank position shift hands side side additional movement forces core muscles work harder stabilize,Strength,Abdominals,Body Only,Intermediate,"['plank', 'arm', 'plank', 'exercise', 'plank', 'position', 'hands', 'side', 'side', 'movement', 'core', 'muscles', 'work']"
610,Cross-body plank march,"The cross-body plank march is an exercise targeting the entire core but especially the obliques. It’s more difficult than a standard plank, with the extra stabilization challenge of bringing one knee at a time off the ground toward the opposing elbow. This will increase the challenge to the core and shoulder muscles, but also present a coordination and balance challenge.",Strength,Abdominals,Body Only,Intermediate,,,cross body plank march exercise targeting entire core especially obliques difficult standard plank extra stabilization challenge bringing one knee time ground toward opposing elbow increase challenge core shoulder muscles also present coordination balance challenge,Strength,Abdominals,Body Only,Intermediate,"['body', 'plank', 'exercise', 'targeting', 'core', 'plank', 'time', 'core', 'shoulder', 'muscles']"
611,Bent-knee Copenhagen hip adduction,"The bent-knee Copenhagen hip adduction is an advanced exercise that combines the isometric stabilization of the Copenhagen plank with dynamic adductions to challenge the core stabilizers and adductors. This exercise targets the same muscles as the side plank, including the obliques, shoulders, and lateral hips, but places extra emphasis on the adductors and is more difficult than side planks on the floor. Most lifters will need to progress to this version after mastering the basic side plank or Copenhagen plank first.",Strength,Abdominals,Body Only,Intermediate,,,bent knee copenhagen hip adduction advanced exercise combines isometric stabilization copenhagen plank dynamic adductions challenge core stabilizers adductors exercise targets muscles side plank including obliques shoulders lateral hips places extra emphasis adductors difficult side planks floor lifters need progress version mastering basic side plank copenhagen plank first,Strength,Abdominals,Body Only,Intermediate,"['exercise', 'plank', 'dynamic', 'core', 'exercise', 'targets', 'muscles', 'side', 'plank', 'including', 'shoulders', 'side', 'floor', 'side', 'plank', 'plank']"
612,Copenhagen plank,"The Copenhagen plank is an advanced version of the side plank performed with one foot on a bench and the other foot hovering under it. This exercise targets the same muscles as the side plank, including the obliques, shoulders, and lateral hips, but places extra emphasis on the adductors and is more difficult than side planks on the floor. Most lifters will need to progress to this version after mastering the basic side plank or feet-elevated side plank first.",Strength,Abdominals,Body Only,Intermediate,,,copenhagen plank advanced version side plank performed one foot bench foot hovering exercise targets muscles side plank including obliques shoulders lateral hips places extra emphasis adductors difficult side planks floor lifters need progress version mastering basic side plank feet elevated side plank first,Strength,Abdominals,Body Only,Intermediate,"['plank', 'side', 'plank', 'performed', 'bench', 'exercise', 'targets', 'muscles', 'side', 'plank', 'including', 'shoulders', 'side', 'floor', 'side', 'plank', 'side', 'plank']"
613,ACFT Hanging leg tuck,"The hanging leg tuck is an exercise targeting the entire body, including the arms, upper back, abs, and hip flexors. This specific exercise is part of the new Army Combat Fitness Test or ACFT. It is performe while hanging from a bar and combines elements of a pull-up with a leg raise. Experienced lifters make these look easy, but beginners may need time to build up to sets of 8-12 reps.",Strength,Abdominals,Body Only,Intermediate,,,hanging leg tuck exercise targeting entire body including arms upper back abs hip flexors specific exercise part new army combat fitness test acft performe hanging bar combines elements pull leg raise experienced lifters make look easy beginners may need time build sets 8 12 reps,Strength,Abdominals,Body Only,Intermediate,"['leg', 'exercise', 'targeting', 'body', 'including', 'upper', 'exercise', 'part', 'bar', 'pull', 'leg', 'raise', 'time', 'build', 'reps']"
614,Alternating hanging knee raise,"The alternating hanging knee raise is an exercise targeting the abs, but which also works the lats and hip flexors. Rather than performing both legs at a time, you lift one knee at a time and alternate with each rep as if marching in place. Knee raises are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training.",Strength,Abdominals,Body Only,Intermediate,,,alternating hanging knee raise exercise targeting abs also works lats hip flexors rather performing legs time lift one knee time alternate rep marching place knee raises often performed moderate high reps 8 12 reps part ab focused training,Strength,Abdominals,Body Only,Intermediate,"['raise', 'exercise', 'targeting', 'legs', 'time', 'time', 'rep', 'performed', 'moderate', 'high', 'reps', 'reps', 'part', 'focused', 'training']"
615,Plank To Sphinx,,Strength,Abdominals,Body Only,Intermediate,,,,Strength,Abdominals,Body Only,Intermediate,[]
616,Twisting Mountain Climbers,,Strength,Abdominals,Body Only,Intermediate,,,,Strength,Abdominals,Body Only,Intermediate,[]
617,Jack Knives,,Strength,Abdominals,Body Only,Intermediate,,,,Strength,Abdominals,Body Only,Intermediate,[]
618,Hanging Leg Raises,,Strength,Abdominals,Body Only,Intermediate,,,,Strength,Abdominals,Body Only,Intermediate,[]
619,Dumbbell suitcase crunch,"The dumbbell suitcase crunch is a weighted version of a popular abdominal training exercise. The simple addition of a weight makes the suitcase crunch far more difficult, helping build the ""six pack"" muscles and providing a different stimulus to the core during training.",Strength,Abdominals,Medicine Ball,Intermediate,9.0,Average,dumbbell suitcase crunch weighted version popular abdominal training exercise simple addition weight makes suitcase crunch far difficult helping build six pack muscles providing different stimulus core training,Strength,Abdominals,Medicine Ball,Intermediate,"['dumbbell', 'crunch', 'popular', 'abdominal', 'training', 'exercise', 'weight', 'crunch', 'build', 'pack', 'muscles', 'core', 'training']"
620,Medicine ball rotational throw,"The medicine ball rotational throw is an explosive exercise targeting the abdominals, including the obliques, as well as the hips and upper back. It involves standing sideways to the wall and twisting the torso to hurl a medicine ball into the wall, then catching the ball on the ricochet. It can be performed for lower reps with a focus on power, or for higher reps with a focus on fat loss and conditioning.",Strength,Abdominals,Medicine Ball,Intermediate,0.0,Average,medicine ball rotational throw explosive exercise targeting abdominals including obliques well hips upper back involves standing sideways wall twisting torso hurl medicine ball wall catching ball ricochet performed lower reps focus power higher reps focus fat loss conditioning,Strength,Abdominals,Medicine Ball,Intermediate,"['ball', 'explosive', 'exercise', 'targeting', 'including', 'upper', 'involves', 'standing', 'ball', 'ball', 'performed', 'lower', 'reps', 'power', 'higher', 'reps', 'fat', 'loss', 'conditioning']"
621,Hollow-hold ball toss,"The hollow-hold ball toss is a more difficult version of the hollow-body hold exercise. It involves tossing a ball to a partner while maintaining an isometric hold in the hollow-body position. It can be done for reps or time in any ab-focused workout, or in an ""I go, you go"" format.",Strength,Abdominals,Medicine Ball,Intermediate,0.0,,hollow hold ball toss difficult version hollow body hold exercise involves tossing ball partner maintaining isometric hold hollow body position done reps time ab focused workout go go format,Strength,Abdominals,Medicine Ball,Intermediate,"['ball', 'body', 'exercise', 'involves', 'ball', 'body', 'position', 'done', 'reps', 'time', 'focused', 'workout']"
622,Partner front Russian twist and pass,"The partner front Russian twist and pass is a weighted version of a popular abdominal training exercise that also utilizes a training partner to add another dynamic component. It targets the oblique muscles, as well as the deep muscles of the core and the rectus abdominis or ""six pack"" muscles. It can be done for reps or time in an ab-focused portion of any workout.",Strength,Abdominals,Medicine Ball,Beginner,0.0,Average,partner front russian twist pass weighted version popular abdominal training exercise also utilizes training partner add another dynamic component targets oblique muscles well deep muscles core rectus abdominis six pack muscles done reps time ab focused portion workout,Strength,Abdominals,Medicine Ball,Beginner,"['front', 'popular', 'abdominal', 'training', 'exercise', 'training', 'dynamic', 'targets', 'muscles', 'muscles', 'core', 'rectus', 'pack', 'muscles', 'done', 'reps', 'time', 'focused', 'portion', 'workout']"
623,Sit-up with single-arm overhand throw,"The sit-up with single-arm overhand throw is an exercise targeting the core muscles, but the inclusion of the throw also brings in other upper-body muscles. When you come to the top of the sit-up position, you throw a medicine ball using one arm to a partner who then throws it right back to you to be caught with both hands. It can be performed for time or reps as part of the ab-focused portion of any workout.",Plyometrics,Abdominals,Medicine Ball,Intermediate,0.0,,sit single arm overhand throw exercise targeting core muscles inclusion throw also brings upper body muscles come top sit position throw medicine ball using one arm partner throws right back caught hands performed time reps part ab focused portion workout,Plyometrics,Abdominals,Medicine Ball,Intermediate,"['single', 'arm', 'exercise', 'targeting', 'core', 'muscles', 'upper', 'body', 'muscles', 'position', 'ball', 'using', 'arm', 'hands', 'performed', 'time', 'reps', 'part', 'focused', 'portion', 'workout']"
624,Medicine ball partner twist,"The medicine ball partner twist is a plyometrics exercise targeting the core muscles, particularly the obliques. You and a partner stand back to back and rotate in unison to pass a medicine ball back and forth on alternating sides.",Plyometrics,Abdominals,Medicine Ball,Intermediate,0.0,,medicine ball partner twist plyometrics exercise targeting core muscles particularly obliques partner stand back back rotate unison pass medicine ball back forth alternating sides,Plyometrics,Abdominals,Medicine Ball,Intermediate,"['ball', 'exercise', 'targeting', 'core', 'muscles', 'ball']"
625,Partner side Russian twist and pass,"The partner side Russian twist and pass is a weighted version of a popular abdominal training exercise that also utilizes a training partner to add another dynamic component. It primarily targets the oblique muscles, as well as the deep muscles of the core and the rectus abdominis or ""six pack"" muscles. It can be done for reps or time in an ab-focused portion of any workout.",Strength,Abdominals,Medicine Ball,Beginner,0.0,,partner side russian twist pass weighted version popular abdominal training exercise also utilizes training partner add another dynamic component primarily targets oblique muscles well deep muscles core rectus abdominis six pack muscles done reps time ab focused portion workout,Strength,Abdominals,Medicine Ball,Beginner,"['side', 'popular', 'abdominal', 'training', 'exercise', 'training', 'dynamic', 'targets', 'muscles', 'muscles', 'core', 'rectus', 'pack', 'muscles', 'done', 'reps', 'time', 'focused', 'portion', 'workout']"
626,Medicine ball half moon,"The medicine ball half moon is a dynamic core exercise performed around and over a medicine ball or other short, stationary object. It is similar in some ways to a V-up or reverse crunch, and targets both the obliques and the rectus abdominis or ""six-pack"" muscles. It can be performed for reps or for time, usually in dedicated ab training or as part of a medicine ball and bodyweight circuit workout.",Strength,Abdominals,Medicine Ball,Intermediate,,,medicine ball half moon dynamic core exercise performed around medicine ball short stationary object similar ways v reverse crunch targets obliques rectus abdominis six pack muscles performed reps time usually dedicated ab training part medicine ball bodyweight circuit workout,Strength,Abdominals,Medicine Ball,Intermediate,"['ball', 'dynamic', 'core', 'exercise', 'performed', 'ball', 'crunch', 'targets', 'rectus', 'pack', 'muscles', 'performed', 'reps', 'time', 'training', 'part', 'ball', 'bodyweight', 'circuit', 'workout']"
627,Exercise ball roll-out,"The exercise ball roll-out is an exercise that strengthens the core, shoulders and upper- back muscles. It starts in a plank-style position, with the arms resting on a ball. Then, roll the ball out in front of you as far as you can while maintaining a strong, neutral spinal position. The lack of stability from the ball increases the degree of difficulty. This is a difficult movement, and beginners may need to use a limited range of motion.",Strength,Abdominals,Medicine Ball,Intermediate,,,exercise ball roll exercise strengthens core shoulders upper back muscles starts plank style position arms resting ball roll ball front far maintaining strong neutral spinal position lack stability ball increases degree difficulty difficult movement beginners may need use limited range motion,Strength,Abdominals,Medicine Ball,Intermediate,"['exercise', 'ball', 'exercise', 'core', 'shoulders', 'upper', 'muscles', 'plank', 'position', 'ball', 'ball', 'front', 'position', 'ball', 'movement']"
628,Medicine ball pass,"The medicine ball pass is a simple partner-based exercise that involves throwing a weighted ball back and forth. It can be part of a dynamic warm-up for lifting or athletics, but can also work as active rest or as a component of circuit training.",Strength,Abdominals,Medicine Ball,Intermediate,,,medicine ball pass simple partner based exercise involves throwing weighted ball back forth part dynamic warm lifting athletics also work active rest component circuit training,Strength,Abdominals,Medicine Ball,Intermediate,"['ball', 'exercise', 'involves', 'ball', 'part', 'dynamic', 'warm', 'work', 'circuit', 'training']"
629,Partner medicine ball sit-up,"The partner medicine ball sit-up is a more difficult version of the traditional abdominal exercise. Two partners pass a medicine ball back and forth at the top of each rep, so each one must alternate a weighted rep with an unweighted rep. This technique can be done for reps or time in any ab-focused workout, in an ""I go, you go"" format.",Strength,Abdominals,Medicine Ball,Intermediate,,,partner medicine ball sit difficult version traditional abdominal exercise two partners pass medicine ball back forth top rep one must alternate weighted rep unweighted rep technique done reps time ab focused workout go go format,Strength,Abdominals,Medicine Ball,Intermediate,"['ball', 'traditional', 'abdominal', 'exercise', 'ball', 'rep', 'rep', 'rep', 'done', 'reps', 'time', 'focused', 'workout']"
630,Medicine ball Russian twist,"The medicine ball Russian twist is a weighted version of a popular abdominal training exercise. It targets the oblique muscles, as well as the deep muscles of the core and the rectus abdominis or ""six pack"" muscles. It can be done for reps or time in the ab-focused portion of any workout.",Strength,Abdominals,Medicine Ball,Intermediate,,,medicine ball russian twist weighted version popular abdominal training exercise targets oblique muscles well deep muscles core rectus abdominis six pack muscles done reps time ab focused portion workout,Strength,Abdominals,Medicine Ball,Intermediate,"['ball', 'popular', 'abdominal', 'training', 'exercise', 'targets', 'muscles', 'muscles', 'core', 'rectus', 'pack', 'muscles', 'done', 'reps', 'time', 'focused', 'portion', 'workout']"
631,30 Medicine Ball Slam,"The medicine ball slam is an explosive exercise for developing power, strength, and speed. Muscles worked include the abdominals, legs, triceps, shoulders, and lats. The slams are usually done in rapid succession to complete one set. It can also be a component of a power or athleticism-focused circuit workout.",Strength,Abdominals,Medicine Ball,Intermediate,,,medicine ball slam explosive exercise developing power strength speed muscles worked include abdominals legs triceps shoulders lats slams usually done rapid succession complete one set also component power athleticism focused circuit workout,Strength,Abdominals,Medicine Ball,Intermediate,"['ball', 'explosive', 'exercise', 'power', 'strength', 'muscles', 'legs', 'triceps', 'shoulders', 'done', 'set', 'power', 'focused', 'circuit', 'workout']"
632,Medicine ball twist,"The medicine ball twist is an exercise targeting the abdominal muscles, particularly the obliques. It is similar in many ways to a Russian twist exercise. The ball is held tight to the chest throughout the movement, and then the torso is rotated from side to side for the desired number of reps or a set amount of time.",Strength,Abdominals,Medicine Ball,Intermediate,,,medicine ball twist exercise targeting abdominal muscles particularly obliques similar many ways russian twist exercise ball held tight chest throughout movement torso rotated side side desired number reps set amount time,Strength,Abdominals,Medicine Ball,Intermediate,"['ball', 'exercise', 'targeting', 'abdominal', 'muscles', 'many', 'exercise', 'ball', 'chest', 'movement', 'side', 'side', 'reps', 'set', 'time']"
633,FYR2 Medicine Ball Complex,,Strength,Abdominals,Medicine Ball,Intermediate,,,,Strength,Abdominals,Medicine Ball,Intermediate,[]
634,FYR2 Medicine Ball Fire-Feet Drill,,Strength,Abdominals,Medicine Ball,Intermediate,,,,Strength,Abdominals,Medicine Ball,Intermediate,[]
635,FYR2 Medicine Ball Knees-to-Chest,,Strength,Abdominals,Medicine Ball,Intermediate,,,,Strength,Abdominals,Medicine Ball,Intermediate,[]
636,FYR2 Medicine Ball Mountain Climber,,Strength,Abdominals,Medicine Ball,Intermediate,,,,Strength,Abdominals,Medicine Ball,Intermediate,[]
637,Decline oblique crunch,"The decline oblique crunch is a popular bodyweight exercise targeting the obliques and the rectus abdominis or ""six-pack"" muscles. It is usually performed for high reps, such as 10-15 reps per set or more, as part of the ab-focused portion of a workout.",Strength,Abdominals,,Intermediate,8.5,Average,decline oblique crunch popular bodyweight exercise targeting obliques rectus abdominis six pack muscles usually performed high reps 10 15 reps per set part ab focused portion workout,Strength,Abdominals,,Intermediate,"['crunch', 'popular', 'bodyweight', 'exercise', 'targeting', 'rectus', 'pack', 'muscles', 'performed', 'high', 'reps', 'reps', 'set', 'part', 'focused', 'portion', 'workout']"
638,Decline sit-up,"The decline sit-up is a bodyweight core exercise that works the rectus abdominis or ""six pack"" muscles. Sit-up variations are usually performed for moderate to high reps, such as 10-15 reps per set or more, as part of the core-focused portion of a workout.",Strength,Abdominals,,Intermediate,,,decline sit bodyweight core exercise works rectus abdominis six pack muscles sit variations usually performed moderate high reps 10 15 reps per set part core focused portion workout,Strength,Abdominals,,Intermediate,"['bodyweight', 'core', 'exercise', 'rectus', 'pack', 'muscles', 'performed', 'moderate', 'high', 'reps', 'reps', 'set', 'part', 'core', 'focused', 'portion', 'workout']"
639,Hanging Windshield Wiper,"The hanging windshield wiper is an advanced abdominal training exercise that is also extremely challenging to other muscles of the upper body, including the lats (latissimus dorsi), biceps, and grip. It requires—and builds—great strength in the rectus abdominis or ""six-pack"" muscles, as well as the obliques and deep core muscles. If you can't perform it hanging from a bar, the lying windshield wiper on the floor provides some of the same benefits.",Strength,Abdominals,,Intermediate,,,hanging windshield wiper advanced abdominal training exercise also extremely challenging muscles upper body including lats latissimus dorsi biceps grip requires builds great strength rectus abdominis six pack muscles well obliques deep core muscles perform hanging bar lying windshield wiper floor provides benefits,Strength,Abdominals,,Intermediate,"['abdominal', 'training', 'exercise', 'muscles', 'upper', 'body', 'including', 'biceps', 'grip', 'strength', 'rectus', 'pack', 'muscles', 'core', 'muscles', 'bar', 'floor']"
640,Exercise Ball Pull-In,The exercise ball knee roll-in is an abdominal exercise that involves supporting yourself with your hands in a plank or push-up position and drawing the knees in toward the chest. This is a fairly advanced abdominal move requiring core strength.,Strength,Abdominals,Exercise Ball,Intermediate,8.9,Average,exercise ball knee roll abdominal exercise involves supporting hands plank push position drawing knees toward chest fairly advanced abdominal move requiring core strength,Strength,Abdominals,Exercise Ball,Intermediate,"['exercise', 'ball', 'abdominal', 'exercise', 'involves', 'hands', 'plank', 'push', 'position', 'chest', 'abdominal', 'move', 'core', 'strength']"
641,Exercise ball crunch,"The exercise ball crunch is a popular gym exercise targeting the abdominals. Unlike crunches on the floor or a bench, by using a ball you can increase the range of motion and both stretch and contract the abs on every rep. The ball crunch can be performed for low reps with a slower tempo focusing on a hard contraction, or for higher reps.",Strength,Abdominals,Exercise Ball,Intermediate,8.4,Average,exercise ball crunch popular gym exercise targeting abdominals unlike crunches floor bench using ball increase range motion stretch contract abs every rep ball crunch performed low reps slower tempo focusing hard contraction higher reps,Strength,Abdominals,Exercise Ball,Intermediate,"['exercise', 'ball', 'crunch', 'popular', 'exercise', 'targeting', 'floor', 'bench', 'using', 'ball', 'stretch', 'rep', 'ball', 'crunch', 'performed', 'low', 'reps', 'higher', 'reps']"
642,Feet-elevated crunch,"The feet-elevated crunch is a variation on the basic crunch, a very popular ab move. Resting the feet on a bench takes some of the hip flexor activation out of the movement, focusing the stress more on the abs. It may have a small range of motion, but this movement produces a major burn.",Strength,Abdominals,Exercise Ball,Intermediate,7.3,Average,feet elevated crunch variation basic crunch popular ab move resting feet bench takes hip flexor activation movement focusing stress abs may small range motion movement produces major burn,Strength,Abdominals,Exercise Ball,Intermediate,"['crunch', 'variation', 'crunch', 'popular', 'move', 'bench', 'movement', 'movement']"
643,Weighted Ball Side Bend,,Strength,Abdominals,Exercise Ball,Beginner,6.4,Average,,Strength,Abdominals,Exercise Ball,Beginner,[]
644,Swiss Ball Ab Roll-Out,"The exercise ball roll-out is an exercise that strengthens the core, shoulders and upper- back muscles. It starts in a plank-style position, with the arms resting on a ball. Then, you roll the ball out in front of you as far as you can while maintaining a strong, neutral spinal position. The lack of stability from the ball increases the degree of difficulty. This is a difficult movement, and beginners may need to use a limited range of motion.",Strength,Abdominals,Exercise Ball,Intermediate,,,exercise ball roll exercise strengthens core shoulders upper back muscles starts plank style position arms resting ball roll ball front far maintaining strong neutral spinal position lack stability ball increases degree difficulty difficult movement beginners may need use limited range motion,Strength,Abdominals,Exercise Ball,Intermediate,"['exercise', 'ball', 'exercise', 'core', 'shoulders', 'upper', 'muscles', 'plank', 'position', 'ball', 'ball', 'front', 'position', 'ball', 'movement']"
645,Exercise Ball Cable Crunch - Gethin Variation,"The exercise ball crunch is a popular gym exercise targeting the abdominals. Unlike crunches on the floor or a bench, by using a ball, you can increase the range of motion and both stretch and contract the abs on every rep. The ball crunch can be performed for low reps with a slower tempo, focusing on a hard contraction, or for higher reps.",Strength,Abdominals,Cable,Intermediate,,,exercise ball crunch popular gym exercise targeting abdominals unlike crunches floor bench using ball increase range motion stretch contract abs every rep ball crunch performed low reps slower tempo focusing hard contraction higher reps,Strength,Abdominals,Cable,Intermediate,"['exercise', 'ball', 'crunch', 'popular', 'exercise', 'targeting', 'floor', 'bench', 'using', 'ball', 'stretch', 'rep', 'ball', 'crunch', 'performed', 'low', 'reps', 'higher', 'reps']"
646,Exercise ball squat and twist,"The exercise ball squat and twist is a combination exercise targeting the quads, but also the obliques because of the twisting motion with each repetition. The exercise ball is held close to the chest throughout. Because it is a lightweight movement, it is usually performed for high reps or for time, and can be a great part of a bodyweight and exercise ball circuit.",Strength,Abdominals,Exercise Ball,Intermediate,,,exercise ball squat twist combination exercise targeting quads also obliques twisting motion repetition exercise ball held close chest throughout lightweight movement usually performed high reps time great part bodyweight exercise ball circuit,Strength,Abdominals,Exercise Ball,Intermediate,"['exercise', 'ball', 'squat', 'exercise', 'targeting', 'quads', 'exercise', 'ball', 'chest', 'movement', 'performed', 'high', 'reps', 'time', 'part', 'bodyweight', 'exercise', 'ball', 'circuit']"
647,Swiss Ball V-Up With Foot Pass,"The exercise ball V-up is a popular movement to target the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. It involves passing an exercise ball or yoga ball back and forth between the hands and feet while performing V-ups. It can be performed for reps or time as part of any ab-focused workout or bodyweight circuit.",Strength,Abdominals,Exercise Ball,Intermediate,,,exercise ball v popular movement target abdominal muscles particularly rectus abdominis six pack muscles involves passing exercise ball yoga ball back forth hands feet performing v ups performed reps time part ab focused workout bodyweight circuit,Strength,Abdominals,Exercise Ball,Intermediate,"['exercise', 'ball', 'popular', 'movement', 'target', 'abdominal', 'muscles', 'rectus', 'pack', 'muscles', 'involves', 'exercise', 'ball', 'ball', 'hands', 'performed', 'reps', 'time', 'part', 'focused', 'workout', 'bodyweight', 'circuit']"
